when using hse as pll input
hse is 25MHz

fs: 12 MHz 12000000  m: 32, n: 192, q:  2, p: 8
fs: 12 MHz 12000000  m: 33, n: 198, q:  2, p: 8
fs: 12 MHz 12000000  m: 34, n: 204, q:  2, p: 8
fs: 12 MHz 12000000  m: 35, n: 210, q:  2, p: 8
fs: 12 MHz 12000000  m: 36, n: 216, q:  2, p: 8
fs: 12 MHz 12000000  m: 37, n: 222, q:  2, p: 8
fs: 12 MHz 12000000  m: 38, n: 228, q:  2, p: 8
fs: 12 MHz 12000000  m: 39, n: 234, q:  2, p: 8
fs: 12 MHz 12000000  m: 40, n: 240, q:  2, p: 8
fs: 12 MHz 12000000  m: 41, n: 246, q:  2, p: 8
fs: 12 MHz 12000000  m: 42, n: 252, q:  2, p: 8
fs: 12 MHz 12000000  m: 43, n: 258, q:  2, p: 8
fs: 12 MHz 12000000  m: 44, n: 264, q:  2, p: 8
fs: 12 MHz 12000000  m: 45, n: 270, q:  2, p: 8
fs: 12 MHz 12000000  m: 46, n: 276, q:  2, p: 8
fs: 12 MHz 12000000  m: 47, n: 282, q:  2, p: 8
fs: 12 MHz 12000000  m: 48, n: 288, q:  2, p: 8
fs: 12 MHz 12000000  m: 49, n: 294, q:  2, p: 8
fs: 12 MHz 12000000  m: 50, n: 300, q:  2, p: 8
fs: 12 MHz 12000000  m: 51, n: 306, q:  2, p: 8
fs: 12 MHz 12000000  m: 52, n: 312, q:  2, p: 8
fs: 12 MHz 12000000  m: 53, n: 318, q:  2, p: 8
fs: 12 MHz 12000000  m: 54, n: 324, q:  2, p: 8
fs: 12 MHz 12000000  m: 55, n: 330, q:  2, p: 8
fs: 12 MHz 12000000  m: 56, n: 336, q:  2, p: 8
fs: 12 MHz 12000000  m: 57, n: 342, q:  2, p: 8
fs: 12 MHz 12000000  m: 58, n: 348, q:  2, p: 8
fs: 12 MHz 12000000  m: 59, n: 354, q:  2, p: 8
fs: 12 MHz 12000000  m: 60, n: 360, q:  2, p: 8
fs: 12 MHz 12000000  m: 61, n: 366, q:  2, p: 8
fs: 12 MHz 12000000  m: 62, n: 372, q:  2, p: 8
fs: 12 MHz 12000000  m: 63, n: 378, q:  2, p: 8
fs: 16 MHz 16000000  m:  9, n:  54, q:  2, p: 6
fs: 16 MHz 16000000  m: 10, n:  60, q:  2, p: 6
fs: 16 MHz 16000000  m: 11, n:  66, q:  2, p: 6
fs: 16 MHz 16000000  m: 12, n:  72, q:  2, p: 6
fs: 16 MHz 16000000  m: 13, n:  78, q:  2, p: 6
fs: 16 MHz 16000000  m: 14, n:  84, q:  2, p: 6
fs: 16 MHz 16000000  m: 15, n:  90, q:  2, p: 6
fs: 16 MHz 16000000  m: 16, n:  96, q:  2, p: 6
